,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
78,78,24,26,-32,-2,-4,-24,8,-6,-30,-8,24,4,2,16,-10,12,-16,-14,6,4,8,-14,14,-4,6,10,-2,6,-8,0
79,79,25,27,-33,-1,-5,-23,9,-7,-31,-9,25,3,3,17,-11,11,-15,-15,7,3,9,-13,13,-5,5,11,-3,7,-9,1
80,80,26,26,-34,-2,-6,-24,8,-8,-30,-10,24,2,4,18,-10,12,-16,-16,6,4,10,-12,14,-4,4,12,-4,6,-10,2
81,81,27,27,-35,-1,-5,-25,7,-9,-31,-11,25,1,5,19,-11,13,-17,-15,7,3,11,-13,15,-3,3,13,-3,5,-11,3
82,82,28,26,-36,0,-4,-26,8,-10,-32,-12,26,0,6,20,-10,14,-18,-16,8,2,12,-14,14,-4,2,12,-2,4,-10,2
83,83,27,27,-35,1,-5,-25,9,-11,-33,-13,27,1,7,21,-9,15,-17,-15,9,1,13,-13,13,-3,3,11,-1,5,-11,3
84,84,28,28,-36,0,-6,-26,10,-12,-34,-12,26,2,8,22,-8,14,-16,-14,10,0,14,-12,14,-4,2,10,-2,6,-12,4
85,85,27,27,-37,1,-5,-25,11,-11,-35,-11,25,1,7,23,-9,13,-17,-15,11,-1,13,-11,15,-5,3,9,-1,7,-11,5
86,86,28,28,-38,0,-6,-26,12,-10,-36,-10,24,0,8,24,-10,12,-16,-16,12,0,14,-12,16,-6,4,10,0,8,-12,4
87,87,29,29,-39,-1,-5,-27,11,-11,-37,-9,25,1,9,23,-11,11,-17,-15,11,1,15,-11,17,-7,3,9,1,7,-13,3
88,88,30,28,-40,0,-6,-28,10,-12,-38,-8,26,0,8,24,-10,12,-16,-16,10,2,14,-10,18,-8,4,8,2,8,-14,2
89,89,31,29,-41,1,-7,-29,9,-13,-39,-9,27,1,9,23,-11,11,-17,-17,11,1,15,-11,17,-7,3,9,3,7,-13,1
90,90,32,28,-40,2,-6,-30,8,-12,-40,-8,28,0,10,22,-12,10,-18,-16,12,0,14,-12,18,-6,4,10,2,8,-14,2
91,91,33,29,-41,3,-7,-31,9,-11,-39,-7,29,1,11,23,-11,11,-19,-17,11,1,15,-11,17,-7,3,9,1,7,-15,1
92,92,34,30,-40,4,-8,-30,8,-12,-40,-6,30,2,10,22,-12,10,-18,-16,12,0,16,-10,18,-6,2,10,2,8,-14,2
93,93,35,29,-41,3,-7,-29,9,-13,-41,-7,29,1,11,23,-13,9,-17,-15,13,1,17,-11,17,-5,1,9,3,9,-15,3
94,94,36,30,-42,2,-8,-30,8,-14,-40,-6,30,2,12,22,-14,10,-18,-16,12,0,18,-10,16,-4,2,8,4,10,-14,2
95,95,37,29,-43,3,-9,-29,9,-15,-41,-7,29,1,11,21,-13,11,-17,-15,11,-1,17,-9,15,-3,1,9,5,9,-15,3
